case,index,vin_true_v,vout_true_v,iout_true_a,temperature_true_c,vin_mapped_v,vout_mapped_v,iout_mapped_a,temperature_mapped_c,vin_code,vout_code,iout_code,temperature_code,vin_q20,vout_q20,iout_q20,temperature_q20,input_code_clamped,physical_value_clamped,arithmetic_overflow
nominal_sweep,94,19.4,7.52,3.525,45.8,19.4022293091,7.51835918427,3.5254573822,45.8168001175,2617,1904,1874,1189,20344712,7883571,3696710,48042397,False,False,False
nominal_sweep,95,19.5,7.6,3.5625,46.5,19.4986085892,7.60128211975,3.56172275543,46.4615001678,2630,1925,1892,1197,20445773,7970522,3734737,48718414,False,False,False
nominal_sweep,96,19.6,7.68,3.6,47.2,19.6024036407,7.68025493622,3.60000038147,47.1868000031,2644,1945,1911,1206,20554610,8053331,3774874,49478946,False,False,False
nominal_sweep,97,19.7,7.76,3.6375,47.9,19.6987819672,7.75922870636,3.63827705383,47.9120998383,2657,1965,1930,1215,20655670,8136141,3815010,50239478,False,False,False
nominal_sweep,98,19.8,7.84,3.675,48.6,19.8025770187,7.8382062912,3.67454242706,48.6373996735,2671,1985,1948,1224,20764507,8218955,3853037,51000010,False,False,False
nominal_sweep,99,19.9,7.92,3.7125,49.3,19.8989562988,7.92112922668,3.7128200531,49.2820997238,2684,2006,1967,1232,20865568,8305906,3893174,51676027,False,False,False
nominal_sweep,100,20.0,8.0,3.75,50.0,20.0027503967,8.00010299683,3.74908542633,50.0073003769,2698,2026,1985,1241,20974404,8388716,3931201,52436455,False,False,False
nominal_sweep,101,20.1,8.08,3.7875,50.7,20.0991392136,8.07907581329,3.78736209869,50.7326002121,2711,2046,2004,1250,21075475,8471525,3971337,53196987,False,False,False
nominal_sweep,102,20.2,8.16,3.825,51.4,20.2029333115,8.15804958344,3.82563972473,51.3773002625,2725,2066,2023,1258,21184311,8554335,4011474,53873004,False,False,False
nominal_sweep,103,20.3,8.24,3.8625,52.1,20.2993125916,8.24097633362,3.86190509796,52.1026000977,2738,2087,2041,1267,21285372,8641290,4049501,54633536,False,False,False
nominal_sweep,104,20.4,8.32,3.9,52.8,20.4031066895,8.31995010376,3.900182724,52.8277997971,2752,2107,2060,1276,21394208,8724100,4089638,55393963,False,False,False
nominal_sweep,105,20.5,8.4,3.9375,53.5,20.4994859695,8.3989238739,3.93846225739,53.4724998474,2765,2127,2079,1284,21495269,8806910,4129777,56069980,False,False,False
nominal_sweep,106,20.6,8.48,3.975,54.2,20.6032800674,8.48184585571,3.97472476959,54.1977996826,2779,2148,2097,1293,21604105,8893860,4167801,56830512,False,False,False
nominal_sweep,107,20.7,8.56,4.0125,54.9,20.6996593475,8.56081962585,4.01300239563,54.9231004715,2792,2168,2116,1302,21705166,8976670,4207938,57591045,False,False,False
nominal_sweep,108,20.8,8.64,4.05,55.6,20.8034543991,8.63979244232,4.04926776886,55.5677995682,2806,2188,2134,1310,21814003,9059479,4245965,58267061,False,False,False
nominal_sweep,109,20.9,8.72,4.0875,56.3,20.8998422623,8.71877098083,4.0875453949,56.2930002213,2819,2208,2153,1319,21915073,9142294,4286102,59027489,False,False,False
nominal_sweep,110,21.0,8.8,4.125,57.0,21.0036363602,8.80169391632,4.12582492828,57.0183000565,2833,2229,2172,1328,22023909,9229245,4326241,59788021,False,False,False
nominal_sweep,111,21.1,8.88,4.1625,57.7,21.1000156403,8.88066673279,4.16208744049,57.6630001068,2846,2249,2190,1336,22124970,9312054,4364265,60464038,False,False,False
nominal_sweep,112,21.2,8.96,4.2,58.4,21.1963949203,8.95964050293,4.20036792755,58.388299942,2859,2269,2209,1345,22226031,9394864,4404405,61224570,False,False,False
nominal_sweep,113,21.3,9.04,4.2375,59.1,21.3001899719,9.0386133194,4.23663043976,59.1135997772,2873,2289,2227,1354,22334868,9477673,4442429,61985102,False,False,False
nominal_sweep,114,21.4,9.12,4.275,59.8,21.396569252,9.12153625488,4.27490711212,59.8388004303,2886,2310,2246,1363,22435929,9564624,4482565,62745530,False,False,False
nominal_sweep,115,21.5,9.2,4.3125,60.5,21.5003633499,9.2005147934,4.31318759918,60.483499527,2900,2330,2265,1371,22544765,9647439,4522705,63421546,False,False,False
nominal_sweep,116,21.6,9.28,4.35,61.2,21.5967512131,9.27948760986,4.34945011139,61.2088003159,2913,2350,2283,1380,22645835,9730248,4560729,64182079,False,False,False
nominal_sweep,117,21.7,9.36,4.3875,61.9,21.7005462646,9.35846138,4.38772964478,61.9341001511,2927,2370,2302,1389,22754672,9813058,4600868,64942611,False,False,False
